,Sl. No,Session,RaceNo,DriverNumber,LapTime,LapNumber,SpeedI1,SpeedI2,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,Team,Driver,TrackStatus,GridNo
14,15,FP1,1,10,0 days 00:01:34.193000,13,234,264,309,TRUE,SOFT,2,TRUE,3,AlphaTauri,GAS,1,1
11,12,FP1,1,16,0 days 00:01:34.557000,14,235,263,305,TRUE,MEDIUM,4,TRUE,3,Ferrari,LEC,1,2
1,2,FP1,1,55,0 days 00:01:34.611000,14,233,261,309,TRUE,MEDIUM,4,TRUE,3,Ferrari,SAI,1,3
18,19,FP1,1,63,0 days 00:01:34.629000,12,234,261,304,TRUE,SOFT,2,TRUE,3,Mercedes,RUS,2,4
0,1,FP1,1,1,0 days 00:01:34.742000,7,231,263,310,TRUE,MEDIUM,4,TRUE,2,Red Bull Racing,VER,1,5
10,11,FP1,1,18,0 days 00:01:34.814000,13,235,263,299,TRUE,SOFT,2,TRUE,3,Aston Martin,STR,1,6
3,4,FP1,1,44,0 days 00:01:34.943000,13,232,261,302,TRUE,SOFT,3,TRUE,4,Mercedes,HAM,1,7
12,13,FP1,1,14,0 days 00:01:35,10,232,260,308,TRUE,SOFT,2,TRUE,3,Alpine,ALO,1,8
8,9,FP1,1,22,0 days 00:01:35.028000,15,234,264,310,TRUE,SOFT,6,TRUE,3,AlphaTauri,TSU,1,9
13,14,FP1,1,11,0 days 00:01:35.050000,11,233,262,307,TRUE,MEDIUM,7,FALSE,3,Red Bull Racing,PER,2,10
6,7,FP1,1,24,0 days 00:01:35.053000,17,237,266,308,TRUE,SOFT,4,TRUE,4,Alfa Romeo,ZHO,1,11
4,5,FP1,1,31,0 days 00:01:35.151000,9,232,260,307,TRUE,SOFT,2,TRUE,3,Alpine,OCO,1,12
15,16,FP1,1,6,0 days 00:01:35.644000,8,237,264,309,TRUE,SOFT,2,TRUE,3,Williams,LAT,1,13
5,6,FP1,1,27,0 days 00:01:35.815000,12,234,258,298,TRUE,SOFT,2,TRUE,3,Aston Martin,HUL,2,14
7,8,FP1,1,23,0 days 00:01:35.923000,13,235,267,307,TRUE,SOFT,7,FALSE,4,Williams,ALB,1,15
16,17,FP1,1,4,0 days 00:01:36.304000,9,232,261,304,TRUE,SOFT,9,FALSE,2,McLaren,NOR,1,16
17,18,FP1,1,3,0 days 00:01:36.402000,9,234,262,306,TRUE,SOFT,9,FALSE,2,McLaren,RIC,1,17
2,3,FP1,1,47,0 days 00:01:36.536000,10,233,262,305,TRUE,MEDIUM,2,TRUE,3,Haas F1 Team,MSC,1,18
9,10,FP1,1,20,0 days 00:01:36.804000,11,230,259,305,TRUE,MEDIUM,5,FALSE,4,Haas F1 Team,MAG,1,19
19,,FP2,1,1,0 days 00:01:31.936000,7,235,266,314,TRUE,SOFT,2,TRUE,2,Red Bull Racing,VER,1,1
30,,FP2,1,16,0 days 00:01:32.023000,11,238,268,311,TRUE,SOFT,5,FALSE,4,Ferrari,LEC,1,2
20,,FP2,1,55,0 days 00:01:32.520000,13,237,266,308,TRUE,SOFT,2,TRUE,4,Ferrari,SAI,1,3
37,,FP2,1,63,0 days 00:01:32.529000,10,236,264,307,TRUE,SOFT,2,TRUE,3,Mercedes,RUS,1,4
31,,FP2,1,14,0 days 00:01:32.877000,7,237,268,313,TRUE,SOFT,2,TRUE,2,Alpine,ALO,1,5
38,,FP2,1,77,0 days 00:01:32.951000,13,240,267,310,TRUE,SOFT,2,TRUE,3,Alfa Romeo,BOT,1,6
